Name,Link
3D-OES: Viewpoint-Invariant Object-Factorized Environment Simulators,https://zhouxian.github.io/3d-oes/
SAIL-VOS 3D: A Synthetic Dataset and Baselines for Object Detection and 3D Mesh Reconstruction from Video Data,http://sailvos.web.illinois.edu/_site/index.html
Datasets for Machine Learning in Autonomous Vehicles,https://medium.com/analytics-vidhya/datasets-for-machine-learning-in-autonomous-vehicles-dd13bae5925b
ShapeFormer: Transformer-based Shape Completion via Sparse Representation,https://arxiv.org/pdf/2201.10326.pdf
NeRF at ICCV 2021,https://dellaert.github.io/NeRF21/
Implicit Mapping and Positioning in Real-Time,https://edgarsucar.github.io/iMAP/
Intrinsic Neural Fields: Learning Functions on Manifolds,https://arxiv.org/abs/2203.07967
Autolabeling 3D Objects With Differentiable Rendering of SDF Shape Priors,https://github.com/TRI-ML/sdflabel
MonoScene: Monocular 3D Semantic Scene Completion,https://cv-rits.github.io/MonoScene/
Play with Generative Adversarial Networks (GANs) in your browser,https://poloclub.github.io/ganlab/
Deep Learning on Monocular Object Pose Detection and Tracking: A Comprehensive Overview,https://arxiv.org/pdf/2105.14291.pdf
Deep Multi-modal Object Detection and Semantic Segmentation for Autonomous Driving: Datasets Methods and Challenges,https://boschresearch.github.io/multimodalperception/index.html#introtab
DepthTrack: Unveiling the Power of RGBD Tracking,https://github.com/xiaozai/DeT
FS6D: Few-Shot 6D Pose Estimation of Novel Objects,https://fs6d.github.io/
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,https://github.com/XuyangBai/TransFusion/
MTC_RCNN: Multi-Modality Task Cascade for 3D Object Detection,https://github.com/Divadi/MTC_RCNN
DEFT: Detection Embeddings for Tracking,https://github.com/MedChaabane/DEFT
Pix2Vox++: Multi-scale Context-aware 3D Object Reconstruction from Single and Multiple Images,https://arxiv.org/pdf/2006.12250v2.pdf
Matryoshka Networks: Predicting 3D Geometry via Nested Shape Layers,https://arxiv.org/pdf/1804.10975v1.pdf
Pixel2Mesh++: 3D Mesh Generation and Refinement from Multi-View Images,https://arxiv.org/pdf/2204.09866.pdf
深度学习论文精读,https://github.com/mli/paper-reading
GNN3DMOT: Graph Neural Network for 3D Multi-Object Tracking with 2D-3D Multi-Feature Learning,https://yunzeman.github.io/papers/GNN3DMOT/paper.pdf
Robust Multi-Modality Multi-Object Tracking,https://github.com/ZwwWayne/mmMOT
DeepFusionMOT: A 3D Multi-Object Tracking Framework Based on Camera-LiDAR Fusion with Deep Association,https://github.com/wangxiyang2022/DeepFusionMOT
