Name,Link,Summary,Type
"Monocular Visual Inertial Odometry
on a Mobile Device",https://vision.in.tum.de/_media/spezial/bib/shelley14msc.pdf,https://www.notion.so/Monocular-Visual-Inertial-Odometry-on-a-Mobile-Device-ceff04d2ab0b49bc9ddbb8374e6757ba,Paper
"Visual-Inertial Odometry for
Autonomous Ground
Vehicles",https://www.diva-portal.org/smash/get/diva2:1155019/FULLTEXT01.pdf,https://www.notion.so/Visual-Inertial-Odometry-for-Autonomous-Ground-Vehicles-3a19a8c4d1ad4d1e9149ef0549c01525,Paper
"Monocular Visual-Inertial Odometry with
an Unbiased Linear System Model and Robust
Feature Tracking Front-End",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6515200/pdf/sensors-19-01941.pdf,https://www.notion.so/Monocular-Visual-Inertial-Odometry-with-an-Unbiased-Linear-System-Model-and-Robust-Feature-Tracking--9dcd54fee27d4b81b724ed0d71c57dc9,Paper
Quaternion kinematics for the error-state Kalman filter,http://www.iri.upc.edu/people/jsola/JoanSola/objectes/notes/kinematics.pdf,https://www.notion.so/Quaternion-kinematics-for-the-error-state-Kalman-filter-5ca37fdafa324b4b924e52df8c5737bc,Paper
ORB-SLAM3,https://arxiv.org/pdf/2007.11898.pdf,https://www.notion.so/ORB-SLAM3-c3b04e95da25479681cac1a36bceb228,Paper
Direct Sparse Mapping,https://arxiv.org/abs/1904.06577,https://www.notion.so/Direct-Sparse-Mapping-b392515d1e094b08a27ae80c53958a5c,Paper
BDD100K: A Diverse Driving Dataset for Heterogeneous Multitask Learning,https://arxiv.org/pdf/1805.04687.pdf,https://www.notion.so/BDD100K-A-Diverse-Driving-Dataset-for-Heterogeneous-Multitask-Learning-147a759c17fc484abb40c5e6ba14f81b,Dataset
Object-oriented SLAM using Quadrics and Symmetry Properties for Indoor Environments,https://arxiv.org/abs/2004.05303,,Paper
"A Novel Feedback Mechanism-Based
Stereo Visual-Inertial SLAM",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8863900,,Paper
"Shonan Rotation Averaging:
Global Optimality by Surfing SO(p)
n",https://arxiv.org/pdf/2008.02737.pdf,,Paper
"SDF-2-SDF:
Highly Accurate 3D Object Reconstruction",http://campar.in.tum.de/pub/slavcheva2016eccv/slavcheva2016eccv.pdf,https://www.notion.so/SDF-2-SDF-Highly-Accurate-3D-Object-Reconstruction-aae1a7acfee44833816c87367df7bb56,Paper
SMSCKF理论代码解析,https://mp.weixin.qq.com/s/w8aDGX14sD9fjM4-EffcOg,,Blog
"VIO from scratch ",https://zhuanlan.zhihu.com/vSLAM-document,,Blog
An Efﬁcient Schmidt-EKF for 3D Visual-Inertial SLAM,http://openaccess.thecvf.com/content_CVPR_2019/papers/Geneva_An_Efficient_Schmidt-EKF_for_3D_Visual-Inertial_SLAM_CVPR_2019_paper.pdf,https://www.notion.so/An-Ef-cient-Schmidt-EKF-for-3D-Visual-Inertial-SLAM-e74870c4e06444128a3d805b2cfdc61f,Paper
黄国权老师讲VIO,https://www.bilibili.com/video/BV1Nk4y127qX?p=11,https://www.notion.so/VIO-1bae0bb2053e487ca3ce0dd0279f77bd,Workshop
ProSLAM: Graph SLAM from a Programmer’s Perspective,https://arxiv.org/pdf/1709.04377.pdf,https://www.notion.so/ProSLAM-Graph-SLAM-from-a-Programmer-s-Perspective-414c5ea3179c4a7593f8264399f47944,Paper
Line Flow Based SLAM,https://arxiv.org/pdf/2009.09972.pdf,,Paper
"EAO-SLAM: Monocular Semi-Dense Object SLAM
Based on Ensemble Data Association",https://arxiv.org/pdf/2004.12730.pdf,,Paper
Unscented Kalman Filter,https://www.haidynmcleod.com/unscented-kalman-filter,,Blog
"Exactly Sparse Gaussian Variational
Inference with Application to
Derivative-Free Batch Nonlinear State
Estimation",https://arxiv.org/pdf/1911.08333.pdf,https://www.notion.so/Exactly-Sparse-Gaussian-Variational-Inference-with-Application-to-Derivative-Free-Batch-Nonlinear-St-4f2c0c4fd50647bf8ea9b6bf5b76674b,Paper
"SelfVIO: Self-Supervised Deep Monocular
Visual-Inertial Odometry and Depth Estimation",https://arxiv.org/pdf/1911.09968.pdf,,Paper
"SimVODIS: Simultaneous Visual Odometry,
Object Detection, and Instance Segmentation",https://github.com/Uehwan/SimVODIS,,Paper
Privacy Preserving Structure-from-Motion,https://cvg.ethz.ch/research/privacy-preserving-sfm/,,Paper
"SLAM in the Field: An Evaluation of Monocular Mapping and Localization on
Challenging Dynamic Agricultural Environment",https://arxiv.org/pdf/2011.01122.pdf,,Paper
"From Points to Planes - Adding Planar Constraints to Monocular
SLAM Factor Graphs",http://ras.papercept.net/images/temp/IROS/files/0359.pdf,,Paper
RISE-SLAM: A Resource-aware Inverse Schmidt Estimator for SLAM,http://mars.cs.umn.edu/papers/Schmidt_IROS_2019.pdf,,Paper
Compositional Scalable Object SLAM,https://arxiv.org/pdf/2011.02658.pdf,,Paper
Robotics Today - A Series of Technical Talks,https://roboticstoday.github.io/index.html,,Workshop
LM-Reloc: Levenberg-Marquardt Based Direct Visual Relocalization,https://vision.in.tum.de/research/vslam/lm-reloc?redirect=1,,Paper
"Real-Time Temporal and Rotational Calibration of Heterogeneous Sensors Using Motion Correlation Analysis",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9271875&casa_token=FELVFABtlcgAAAAA:BjsErtqeb7YvqMKPFButK96S-MfC_vGfcgnIKNmjPnEz63NTMhGO2H36BUtd8d0YLn8M9D2W9A&tag=1,,Paper
"Online IMU Intrinsic Calibration:
Is It Necessary?",http://www.roboticsproceedings.org/rss16/p026.pdf,,Paper
"xVIO: A Range-Visual-Inertial Odometry Framework",https://arxiv.org/pdf/2010.06677.pdf,,Paper
CodeVIO: Visual-Inertial Odometry with Learned Optimizable Dense Depth,https://arxiv.org/pdf/2012.10133.pdf,,Paper
Dynamic SLAM: The Need For Speed,https://arxiv.org/pdf/2002.08584.pdf,,Paper
"Perspective-2-Ellipsoid: Bridging the Gap Between
Object Detections and 6-DoF Camera Pose",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9127873&casa_token=2Q4Df0JHc24AAAAA:0cgrdvLIO5eZY-dEunOH2Mb9wviRQlhOkXkxDX9WfDAIrM2oV72-8TH5gjQpzzpzQELMQztERg&tag=1,,Paper
Probabilistic Structure from Motion with Objects (PSfMO),https://openaccess.thecvf.com/content_ICCV_2017/papers/Gay_Probabilistic_Structure_From_ICCV_2017_paper.pdf,,Paper
3D Pose from Detections,https://arxiv.org/pdf/1502.04754.pdf,,Paper
Structure from Motion with Objects,https://www.cv-foundation.org/openaccess/content_cvpr_2016/papers/Crocco_Structure_From_Motion_CVPR_2016_paper.pdf,,Paper
"Lifting 2D object detections to 3D:
A geometric approach in multiple views",http://www.diegm.uniud.it/fusiello/papers/iciap17a.pdf,code https://github.com/csrubino/from2Dto3D,Paper
"Spherical Regression: Learning Viewpoints, Surface Normals and 3D Rotations on n-Spheres",https://arxiv.org/pdf/1904.05404.pdf,,Paper
"Robust 6D Object Pose Estimation with Stochastic Congruent Sets",http://bmvc2018.org/contents/papers/1046.pdf,,Paper
3D Object Localisation from Multi-View Image Detections,https://github.com/IIT-PAVIS/LfD,,Paper
TartanAir: A Dataset to Push the Limits of Visual SLAM,http://theairlab.org/tartanair-dataset/,,Paper
"RGB-D Object SLAM Using Quadrics for Indoor Environments",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7571184/pdf/sensors-20-05150.pdf,,Paper
RGB-D Odometry and SLAM,https://arxiv.org/pdf/2001.06875.pdf,,Paper
A2D2: Audi Autonomous Driving Dataset,https://www.a2d2.audi/content/dam/a2d2/dataset/a2d2-audi-autonomous-driving-dataset.pdf,website https://www.a2d2.audi/a2d2/en.html,Paper
Practical Persistence Reasoning in Visual SLAM,https://ieeexplore.ieee.org/document/9196913,,Paper
CNN-SVO: Improving the Mapping in Semi-Direct Visual Odometry Using Single-Image Depth Prediction,https://arxiv.org/pdf/1810.01011.pdf,https://github.com/yan99033/CNN-SVO,Paper 
CNN-SLAM: Real-time dense monocular SLAM with learned depth prediction,https://arxiv.org/pdf/1704.03489.pdf,https://github.com/iitmcvg/CNN_SLAM,Paper
A Minimalist Approach to Type-Agnostic Detection of Quadrics in Point Clouds,https://openaccess.thecvf.com/content_cvpr_2018/papers/Birdal_A_Minimalist_Approach_CVPR_2018_paper.pdf,,Paper
Camera Relocalization with Ellipsoidal Abstraction of Objects,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8943719&casa_token=w3hsiyGED5wAAAAA:CZBY-0AYrXF-8oDYDXzs1i01SXQPES7Ebe5SXnZyqAzZfwGUXk5N2dc3dCZaI29JWLcDScz3Fw&tag=1,,Paper
Camera Pose Estimation with Semantic 3D Model,https://hal.archives-ouvertes.fr/hal-02181962/document,,Paper
Generic Primitive Detection in Point Clouds Using Novel Minimal Quadric Fits,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8644023&casa_token=azf_vAH8UlwAAAAA:7xpPbSAU6F59g41KOkC79EzXow-HYmI7s2pvl5JJiin73WldXH5FoLiNFcbvukcsmOHYxMawpA,https://scicomp.stackexchange.com/questions/26105/fitting-implicit-surfaces-to-oriented-point-sets/31123,Paper
Factorization based structure from motion with object priors,https://www.sciencedirect.com/science/article/abs/pii/S1077314217301893,,Paper
Scene Understanding with Multi-view Geometry and Semantics,http://cosimorubino.com/paper/thesis.pdf,,Thesis
A Unified Framework for Piecewise Semantic Reconstruction in Dynamic Scenes via Exploiting Superpixel Relations,http://xiangyangji.com/uploadfile/upload/2020072017390212.pdf,,Paper
Representations and Benchmarking of Modern Visual SLAM Systems,https://www.mdpi.com/1424-8220/20/9/2572,,Paper 
Deep-SLAM++: Object-level RGBD SLAM based on class-specific deep shape priors,https://arxiv.org/pdf/1907.09691.pdf,,Paper
Semantic Photometric Bundle Adjustment on Natural Sequences,https://arxiv.org/pdf/1712.00110.pdf,,Paper
ICRA 2020 notes,https://github.com/moshanATucsd/ICRA-2020-notes,,Conference
Visual inertial odometry on a budget,https://riccardogiubilato.github.io/visual/odometry/2017/12/12/Visual-Inertial-Odometry-On-A-Budget.html,,Blog
OV2SLAM:A Fully Online and Versatile Visual SLAM for Real-Time Applications,https://arxiv.org/pdf/2102.04060.pdf,https://github.com/ov2slam/ov2slam,Paper
SD-6DoF-ICLK: Sparse and Deep Inverse Compositional Lucas-Kanade Algorithm on SE(3),https://arxiv.org/pdf/2103.16528.pdf,,Paper
VINSEval: Evaluation Framework for Unified Testing of Consistency and Robustness of Visual-Inertial Navigation System Algorithms,,https://github.com/aau-cns/vins_eval,Paper
InteriorNet: Mega-scale Multi-sensor Photo-realistic Indoor Scenes Dataset,https://interiornet.org/,,Dataset 
SLAMBench 3.0,,https://github.com/mihaibujanca/slambench3,Benchmark 
Optimal Pose and Shape Estimation for Category-level 3D Object Perception,https://arxiv.org/pdf/2104.08383.pdf,,Paper
Real-Time Camera Tracking: When is High Frame-Rate Best?,https://link.springer.com/content/pdf/10.1007/978-3-642-33786-4_17.pdf,,Paper
Consistent Map-based 3D Localization on Mobile Devices,https://arxiv.org/abs/1604.08087,,Paper 
Hierarchical Object Map Estimation for Efficient and Robust Navigation,http://groups.csail.mit.edu/rrg/papers/ok_icra21.pdf,,Paper 
Differentiable SLAM-net: Learning Particle SLAM for Visual Navigation,https://arxiv.org/pdf/2105.07593.pdf,https://sites.google.com/view/slamnet,Paper
Resource-aware Online Parameter Adaptation for Computationally-constrained Visual-Inertial Navigation Systems,https://arxiv.org/pdf/2106.00289.pdf,,Paper
