Name,Link
"SelfVIO: Self-Supervised Deep Monocular Visual-Inertial Odometry and Depth Estimation",https://arxiv.org/pdf/1911.09968.pdf
"SimVODIS: Simultaneous Visual Odometry, Object Detection, and Instance Segmentation",https://github.com/Uehwan/SimVODIS
Privacy Preserving Structure-from-Motion,https://cvg.ethz.ch/research/privacy-preserving-sfm/
"SLAM in the Field: An Evaluation of Monocular Mapping and Localization on Challenging Dynamic Agricultural Environment",https://arxiv.org/pdf/2011.01122.pdf
"From Points to Planes - Adding Planar Constraints to Monocular SLAM Factor Graphs",http://ras.papercept.net/images/temp/IROS/files/0359.pdf
RISE-SLAM: A Resource-aware Inverse Schmidt Estimator for SLAM,http://mars.cs.umn.edu/papers/Schmidt_IROS_2019.pdf
Compositional Scalable Object SLAM,https://arxiv.org/pdf/2011.02658.pdf
Robotics Today - A Series of Technical Talks,https://roboticstoday.github.io/index.html
LM-Reloc: Levenberg-Marquardt Based Direct Visual Relocalization,https://vision.in.tum.de/research/vslam/lm-reloc?redirect=1
Real-Time Temporal and Rotational Calibration of Heterogeneous Sensors Using Motion Correlation Analysis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9271875&casa_token=FELVFABtlcgAAAAA:BjsErtqeb7YvqMKPFButK96S-MfC_vGfcgnIKNmjPnEz63NTMhGO2H36BUtd8d0YLn8M9D2W9A&tag=1
"Online IMU Intrinsic Calibration: Is It Necessary?",http://www.roboticsproceedings.org/rss16/p026.pdf
xVIO: A Range-Visual-Inertial Odometry Framework,https://arxiv.org/pdf/2010.06677.pdf
CodeVIO: Visual-Inertial Odometry with Learned Optimizable Dense Depth,https://arxiv.org/pdf/2012.10133.pdf
Dynamic SLAM: The Need For Speed,https://arxiv.org/pdf/2002.08584.pdf
"Perspective-2-Ellipsoid: Bridging the Gap Between Object Detections and 6-DoF Camera Pose",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9127873&casa_token=2Q4Df0JHc24AAAAA:0cgrdvLIO5eZY-dEunOH2Mb9wviRQlhOkXkxDX9WfDAIrM2oV72-8TH5gjQpzzpzQELMQztERg&tag=1
Probabilistic Structure from Motion with Objects (PSfMO),https://openaccess.thecvf.com/content_ICCV_2017/papers/Gay_Probabilistic_Structure_From_ICCV_2017_paper.pdf
3D Pose from Detections,https://arxiv.org/pdf/1502.04754.pdf
